prior,reps,time,state,obs,action,value
ghost,9,12,1,1,1,-0
ghost,9,13,1,1,1,-0
ghost,9,14,1,1,1,-0
ghost,9,15,1,1,1,-0
ghost,9,16,1,1,1,-0
ghost,9,17,1,1,1,-0
ghost,9,18,1,1,1,-0
ghost,9,19,1,1,1,-0
ghost,9,20,1,1,1,-0
ghost,9,21,1,1,1,-0
ghost,9,22,1,1,1,-0
ghost,9,23,1,1,1,-0
ghost,9,24,1,1,1,-0
ghost,9,25,1,1,1,-0
ghost,9,26,1,1,1,-0
ghost,9,27,1,1,1,-0
ghost,9,28,1,1,1,-0
ghost,9,29,1,1,1,-0
ghost,9,30,1,1,1,-0
ghost,9,31,1,1,1,-0
ghost,9,32,1,1,1,-0
ghost,9,33,1,1,1,-0
ghost,9,34,1,1,1,-0
ghost,9,35,1,1,1,-0
ghost,9,36,1,1,1,-0
ghost,9,37,1,1,1,-0
ghost,9,38,1,1,1,-0
ghost,9,39,1,1,1,-0
ghost,9,40,1,1,1,-0
ghost,9,41,1,1,1,-0
ghost,9,42,1,1,1,-0
ghost,9,43,1,1,1,-0
ghost,9,44,1,1,1,-0
ghost,9,45,1,1,1,-0
ghost,9,46,1,1,1,-0
ghost,9,47,1,1,1,-0
ghost,9,48,1,1,1,-0
ghost,9,49,1,1,1,-0
ghost,9,50,1,1,1,-0
ghost,9,51,1,1,1,-0
ghost,9,52,1,1,1,-0
ghost,9,53,1,1,1,-0
ghost,9,54,1,1,1,-0
ghost,9,55,1,1,1,-0
ghost,9,56,1,1,1,-0
ghost,9,57,1,1,1,-0
ghost,9,58,1,1,1,-0
ghost,9,59,1,1,1,-0
ghost,9,60,1,1,1,-0
ghost,10,1,21,21,49,-47.952
ghost,10,2,2,2,3,-1.996002
ghost,10,3,1,1,1,-0
ghost,10,4,1,1,1,-0
ghost,10,5,1,1,1,-0
ghost,10,6,1,1,1,-0
ghost,10,7,1,1,1,-0
ghost,10,8,1,1,1,-0
ghost,10,9,1,1,1,-0
ghost,10,10,1,1,1,-0
ghost,10,11,1,1,1,-0
ghost,10,12,1,1,1,-0
ghost,10,13,1,1,1,-0
ghost,10,14,1,1,1,-0
ghost,10,15,1,1,1,-0
ghost,10,16,1,1,1,-0
ghost,10,17,1,1,1,-0
ghost,10,18,1,1,1,-0
ghost,10,19,1,1,1,-0
ghost,10,20,1,1,1,-0
ghost,10,21,1,1,1,-0
ghost,10,22,1,1,1,-0
ghost,10,23,1,1,1,-0
ghost,10,24,1,1,1,-0
ghost,10,25,1,1,1,-0
ghost,10,26,1,1,1,-0
ghost,10,27,1,1,1,-0
ghost,10,28,1,1,1,-0
ghost,10,29,1,1,1,-0
ghost,10,30,1,1,1,-0
ghost,10,31,1,1,1,-0
ghost,10,32,1,1,1,-0
ghost,10,33,1,1,1,-0
ghost,10,34,1,1,1,-0
ghost,10,35,1,1,1,-0
ghost,10,36,1,1,1,-0
ghost,10,37,1,1,1,-0
ghost,10,38,1,1,1,-0
ghost,10,39,1,1,1,-0
ghost,10,40,1,1,1,-0
ghost,10,41,1,1,1,-0
ghost,10,42,1,1,1,-0
ghost,10,43,1,1,1,-0
ghost,10,44,1,1,1,-0
ghost,10,45,1,1,1,-0
ghost,10,46,1,1,1,-0
ghost,10,47,1,1,1,-0
ghost,10,48,1,1,1,-0
ghost,10,49,1,1,1,-0
ghost,10,50,1,1,1,-0
ghost,10,51,1,1,1,-0
ghost,10,52,1,1,1,-0
ghost,10,53,1,1,1,-0
ghost,10,54,1,1,1,-0
ghost,10,55,1,1,1,-0
ghost,10,56,1,1,1,-0
ghost,10,57,1,1,1,-0
ghost,10,58,1,1,1,-0
ghost,10,59,1,1,1,-0
ghost,10,60,1,1,1,-0
bistable,1,1,21,21,1,-0
bistable,1,2,23,23,1,-0
bistable,1,3,24,24,1,-0
bistable,1,4,23,23,1,-0
bistable,1,5,23,23,1,-0
bistable,1,6,25,25,1,-0
bistable,1,7,25,25,1,-0
bistable,1,8,25,25,1,-0
bistable,1,9,25,25,1,-0
bistable,1,10,25,25,1,-0
bistable,1,11,26,26,1,-0
bistable,1,12,27,27,1,-0
bistable,1,13,27,27,1,-0
bistable,1,14,27,27,1,-0
bistable,1,15,27,27,1,-0
bistable,1,16,27,27,1,-0
bistable,1,17,27,27,1,-0
bistable,1,18,29,29,1,-0
bistable,1,19,31,31,1,-0
bistable,1,20,32,32,3,-1.9603777296590694
bistable,1,21,31,31,1,-0
bistable,1,22,31,31,1,-0
bistable,1,23,32,32,3,-1.9545024756429035
bistable,1,24,31,31,1,-0
bistable,1,25,31,31,1,-0
bistable,1,26,34,34,8,-6.820256904191147
bistable,1,27,32,32,3,-1.9466961849391302
bistable,1,28,30,30,1,-0
bistable,1,29,30,30,1,-0
bistable,1,30,30,30,1,-0
bistable,1,31,32,32,3,-1.9389210725916453
bistable,1,32,33,33,6,-4.842455378797633
bistable,1,33,28,28,1,-0
bistable,1,34,30,30,1,-0
bistable,1,35,28,28,1,-0
bistable,1,36,31,31,1,-0
bistable,1,37,30,30,1,-0
bistable,1,38,30,30,1,-0
bistable,1,39,33,33,6,-4.808659713392451
bistable,1,40,29,29,1,-0
bistable,1,41,30,30,1,-0
bistable,1,42,29,29,1,-0
bistable,1,43,27,27,1,-0
bistable,1,44,28,28,1,-0
bistable,1,45,26,26,1,-0
bistable,1,46,27,27,1,-0
bistable,1,47,28,28,1,-0
bistable,1,48,28,28,1,-0
bistable,1,49,29,29,1,-0
bistable,1,50,31,31,1,-0
bistable,1,51,32,32,3,-1.9005088451376686
bistable,1,52,32,32,3,-1.8986083362925308
bistable,1,53,34,34,8,-6.638484047846834
bistable,1,54,29,29,1,-0
bistable,1,55,30,30,1,-0
bistable,1,56,31,31,1,-0
bistable,1,57,32,32,3,-1.8891342617178388
bistable,1,58,29,29,1,-0
bistable,1,59,27,27,1,-0
bistable,1,60,29,29,1,-0
bistable,2,1,21,21,1,-0
bistable,2,2,21,21,1,-0
bistable,2,3,21,21,1,-0
bistable,2,4,20,20,1,-0
bistable,2,5,21,21,1,-0
bistable,2,6,21,21,1,-0
bistable,2,7,21,21,1,-0
bistable,2,8,20,20,1,-0
bistable,2,9,22,22,1,-0
bistable,2,10,23,23,1,-0
bistable,2,11,25,25,1,-0
bistable,2,12,25,25,1,-0
bistable,2,13,26,26,1,-0
bistable,2,14,25,25,1,-0
bistable,2,15,26,26,1,-0
bistable,2,16,27,27,1,-0
bistable,2,17,25,25,1,-0
bistable,2,18,27,27,1,-0
bistable,2,19,29,29,1,-0
